"","tp","ta","lat","long"
"1",3.148,59,-14.25,-76.12
"2",73,100,-20.45,-70.24
"3",10,323,2.37,-84.56
"4",4,322,1.51,-84.67
"5",44,32,-16.81,-71.26
"6",65,20,-17.49,-72.62
"7",63,82,-17.42,-72.74
"8",6,82,-18.66,-69.37
"9",32,134,-3.74,-81.23
"10",27,96,5.63,-75.89
"11",18,142,-13.69,-76.29
"12",73,111,-19.94,-70.8
"13",68,61,-19.58,-70.48
"14",0,136,3.88,-82.51
"15",32,67,-19.86,-68.84
"16",29,98,-19.58,-69.07
"17",3,137,3.95,-82.71
"18",3,141,5.3,-82.46
"19",6,317,4.84,-82.56
"20",52,221,-5.18,-80.58
"21",35,54,-19.64,-69.09
"22",74,62,-14.95,-71.73
"23",66,105,-14.82,-71.48
"24",3,142,1.25,-85.25
"25",21,53,-10.75,-75.29
"26",33,67,-18.2,-69.05
"27",6,61,-3.22,-78.54
"28",3,139,3.21,-84.22
"29",59,63,-19.61,-70.77
"30",70,96,-19.89,-70.95
"31",72,74,-20.35,-70.45
"32",71,57,-19.68,-71.18
"33",68,72,-20.31,-70.58
"34",58,70,-20.57,-70.5
"35",71,63,-20.8,-70.59
"36",67,54,-20.64,-70.65
"37",69,76,-20.06,-71.03
"38",75,82,-19.93,-70.93
"39",74,237,-20.49,-70.91
"40",72,74,-20.13,-70.56
"41",68,47,-20.75,-70.67
"42",71,57,-20.15,-70.56
"43",81,82,-19.93,-70.82
"44",78,159,-20.36,-70.87
"45",43,62,-20.41,-71.01
"46",76,104,-20.68,-70.89
"47",54,220,-20.13,-70.85
"48",3,231,-8.24,-71.58
"49",73,74,-19.9,-70.85
"50",82,60,-20.58,-70.6
"51",62,122,-20.51,-70.92
"52",71,94,-19.93,-71.03
"53",67,78,-20.6,-70.8
"54",66,104,-20.02,-70.95
"55",58,137,-20.66,-70.65
"56",66,68,-20.57,-70.75
"57",66,76,-20.78,-70.75
"58",71,93,-20.2,-70.78
"59",76,224,-20.15,-70.69
"60",74,83,-20.21,-70.86
"61",74,98,-20.18,-70.85
"62",68,288,-20.15,-70.87
"63",70,93,-20.03,-70.92
"64",69,74,-19.62,-71.04
"65",73,83,-19.99,-70.97
"66",26,190,0.73,-77.83
"67",42,230,-10.54,-78.08
"68",61,215,-8.53,-80.32
"69",13,45,-21.08,-68.63
"70",67,87,-14.52,-76.17
"71",15,223,-14.76,-71.35
"72",58,88,-8.32,-79.83
"73",14,79,-2.09,-79.62
"74",49,84,-16.71,-69.7
"75",37,73,-20.94,-66.48
"76",60,63,0.35,-79.93
"77",77,81,-0.38,-80.2
"78",64,99,-0.23,-80.69
"79",64,88,-1,-80.85
"80",30,344,-0.06,-80.77
"81",66,102,-0.21,-80.76
"82",66,123,-1.27,-80.86
"83",61,87,0.58,-80.03
"84",60,96,0.64,-80.21
"85",69,81,0.71,-80.04
"86",68,92,0.57,-79.93
"87",59,79,-0.29,-80.51
"88",63,89,-0.28,-80.5
"89",69,86,-0.42,-80.54
"90",55,95,-0.24,-80.59
"91",59,133,0.61,-80.25
"92",61,121,-0.19,-80.73
"93",54,110,-6.98,-80.9
"94",54,93,-17.72,-72.61
"95",0,140,1.25,-85.25
"96",5,336,5.68,-82.62
"97",7,60,-21.77,-68.35
"98",81,170,-2.71,-75.3
"99",5,322,1.03,-85.28
"100",5,322,0.8,-85.36
"101",39,70,-19.72,-69.32
"102",72,73,-20,-70.95
"103",22,205,-15.74,-71.9
"104",17,196,-15.59,-72.46
"105",5,174,-14.43,-70.74
"106",5.786,9,5.11,-82.52
"107",69,78,-15.84,-74.78
"108",19,343,3.06,-84.22
"109",67,107,-13.39,-76.6
"110",60,98,-14.28,-76.13
"111",66,82,-14.35,-76.13
"112",34,340,-13.45,-76.72
"113",62,89,-14.43,-76.13
"114",60,91,-14.46,-75.98
"115",67,87,-14.18,-76.09
"116",47,200,-13.6,-76.6
"117",64,68,-13.81,-76.29
"118",75,175,-13.63,-76.62
"119",45,191,-13.63,-76.5
"120",38,112,-19.72,-66.45
"121",52,86,-13.69,-76.26
"122",54,156,-13.62,-76.94
"123",40,59,-20.95,-68.36
"124",70,72,-5.84,-80.92
"125",9,319,5.24,-82.68
"126",55,66,-8.36,-74.27
"127",10,87,-7.64,-74.38
"128",6,213,-12.1,-75.41
"129",18,238,-5.48,-81.22
"130",74,73,-19.94,-70.33
"131",65,77,-19.96,-70.36
"132",11,74,-14.03,-73.09
"133",26,45,-1.27,-77.31
"134",17,66,-21.17,-68.91
"135",7,265,-7.45,-75.15
"136",26,39,-1.81,-76.91
"137",70,74,5.65,-77.53
"138",10,84,-7.64,-74.53
"139",21,114,-8.41,-74.26
"140",7,316,5.5,-82.5
"141",23,61,-8.62,-74.88
"142",72,70,-20.18,-70.71
"143",5,83,-5.4,-81.93
"144",5,349,5.77,-78.2
"145",29,105,-21.46,-68.46
"146",58,51,3.85,-76.74
"147",64,64,-3.92,-80.92
"148",4,57,-6.92,-81.61
"149",76,193,-0.02,-78.32
"150",73,43,-20.16,-70.02
"151",68,98,-20.01,-71.04
"152",63,178,-0.03,-78.39
"153",49,83,-20.17,-69.04
"154",1,93,-14.6,-73.57
"155",61,139,-16.13,-73.11
"156",9,322,1.09,-85.17
"157",3,325,1.05,-85.27
"158",9,318,5.18,-82.64
"159",8,158,-15.82,-71.81
"160",7,9,2.8,-84.28
"161",68,75,-14.52,-76.25
"162",10,319,4.92,-82.72
