id,distance,adj.depth,depth,m,temp,adj.temp,stress,adj.stress,sector
1,102.3271587,-35,-35,5.5,224.12,224.12,-0.15,-0.15,eastern
2,104.339079,-35,-35,5.5,219.2,219.2,0.08,0.08,eastern
3,247.4128825,-84.26522101,-79,5,673.72,805.78,95.78,-80.86,western
4,89.26146176,-15,-15,7.3,96.52,96.52,0,0,western
5,80.40198478,-15,-15,6.7,100.38,100.38,0,0,western
6,70.13535196,-35,-35,5.5,435.18,435.18,-99.17,-99.17,eastern
7,113.5818162,-35,-35,5.5,207.28,207.28,-0.07,-0.07,western
8,27.0033489,-15,-15,5.5,237.83,237.83,-24.7,-24.7,eastern
9,94.49736422,-30.2,-30.2,5.3,203.32,203.32,-0.34,-0.34,eastern
10,84.5124967,-43.3,-43.3,4.6,507.4,507.4,-100,-100,western
11,45.652371,-22.4,-22.4,5.6,336.87,336.87,-77.19,-77.19,western
12,104.051624,-50.3,-50.3,6.3,518.74,518.74,-100,-100,eastern
13,128.2436903,-38.4,-38.4,5.3,220.63,220.63,-0.75,-0.75,eastern
14,-63.04197804,-30.3,-30.3,5.9,960.76,960.76,-51.03,-51.03,western
15,149.7245223,-71.7,-71.7,5.1,684.1,684.1,20.37,20.37,western
16,40.4923912,-15,-15,5.5,166.77,166.77,0.22,0.22,eastern
17,95.51651076,-25.9,-25.9,5.6,157.57,157.57,0,0,eastern
18,322.3076683,-82.14431485,-80.4,6.6,661.87,694.72,73.5,59.91,eastern
19,128.3474279,-38.7,-38.7,5.3,220.63,220.63,-0.75,-0.75,western
20,134.4097743,-47.2,-47.2,5.5,270.72,270.72,0.56,0.56,western
21,61.08208524,-15.9,-15.9,5.9,117.01,117.01,-0.12,-0.12,western
22,100.0699589,-50.9,-50.9,5.1,555.9,555.9,-85.14,-85.14,eastern
23,110.056652,-61.2,-61.2,5.3,714.64,714.64,69.76,69.76,western
24,302.778609,-69.38910604,-66.8,4.7,550.62,546.57,26.51,80.98,eastern
25,70.8202335,-25,-25,6.6,211.47,211.47,0.41,0.41,western
26,67.63079792,-40.1,-40.1,5.1,635.11,635.11,-14.73,-14.73,eastern
